entry_date,entry_time,exit_date,exit_time,strike,opt_type,entry_price,exit_price,pnl,pnl_pct,hold_duration_minutes,exit_reason,max_price,partial_exit
2025-09-29,10:12:08,2025-09-29,10:12:11,24750.0,CE,98.65,5205.0,5101.35,5171.16,0,contract_change,98.65,False
2025-09-29,10:12:13,2025-09-29,10:12:16,24750.0,PE,44.9,5205.0,5155.10,11481.29,0,contract_change,44.90,False
2025-09-29,10:12:30,2025-09-29,10:12:31,24750.0,CE,96.1,5205.0,5103.90,5311.03,0,contract_change,96.10,False
2025-09-29,10:12:44,2025-09-29,10:12:46,24750.0,CE,96.5,4196.3,4094.80,4243.32,0,contract_change,96.50,False
2025-09-29,10:13:03,2025-09-29,10:13:06,24750.0,PE,44.65,4201.6,4151.95,9298.88,0,contract_change,44.65,False
2025-09-29,10:13:23,2025-09-29,10:13:26,24750.0,CE,99.05,4200.0,4095.95,4135.23,0,contract_change,99.05,False
2025-09-29,10:13:33,2025-09-29,10:13:36,24750.0,CE,99.55,5200.0,5095.45,5118.48,0,contract_change,99.55,False
2025-09-29,10:13:43,2025-09-29,10:13:44,24750.0,PE,43.35,5200.0,5151.65,11883.85,0,contract_change,43.35,False
2025-09-29,10:13:48,2025-09-29,10:13:49,24750.0,PE,42.55,4200.0,4152.45,9758.99,0,contract_change,42.55,False
2025-09-29,10:13:53,2025-09-29,10:13:54,24750.0,CE,102.35,4200.0,4092.65,3998.68,0,contract_change,102.35,False
2025-09-29,10:13:56,2025-09-29,10:13:59,24750.0,PE,42.2,4200.0,4152.80,9840.76,0,contract_change,42.20,False
2025-09-29,10:14:08,2025-09-29,10:14:09,24750.0,CE,101.95,4200.0,4093.05,4014.76,0,contract_change,101.95,False
2025-09-29,10:14:13,2025-09-29,10:14:14,24750.0,PE,42.2,4186.35,4139.15,9808.41,0,contract_change,42.20,False
2025-09-29,10:15:43,2025-09-29,10:15:44,24750.0,PE,42.25,5200.0,5152.75,12195.86,0,contract_change,42.25,False
2025-09-29,10:16:28,2025-09-29,10:16:32,24750.0,PE,43.75,5200.0,5151.25,11774.29,0,contract_change,43.75,False
2025-09-29,10:17:01,2025-09-29,10:17:15,24750.0,CE,99.75,5200.0,5095.25,5108.02,0,contract_change,99.75,False
2025-09-29,10:17:20,2025-09-29,10:17:26,24750.0,PE,42.6,5200.0,5152.40,12094.84,0,contract_change,42.60,False
2025-09-29,10:17:32,2025-09-29,10:18:11,24750.0,CE,103.6,4200.0,4091.40,3949.23,0,contract_change,103.60,False
2025-09-29,10:18:34,2025-09-29,10:18:45,24750.0,CE,109.3,5200.0,5085.70,4652.97,0,contract_change,109.30,False
2025-09-29,10:18:47,2025-09-29,10:18:50,24750.0,PE,37.6,5200.0,5157.40,13716.49,0,contract_change,37.60,False
2025-09-29,10:18:52,2025-09-29,10:18:58,24800.0,PE,54.5,5200.0,5140.50,9432.11,0,contract_change,54.50,False
2025-09-29,10:19:00,2025-09-29,10:19:14,24800.0,PE,52.1,5200.0,5142.90,9871.21,0,contract_change,52.10,False
2025-09-29,10:19:16,2025-09-29,10:19:23,24800.0,CE,82.95,4200.0,4112.05,4957.26,0,contract_change,82.95,False
2025-09-29,10:19:25,2025-09-29,10:19:28,24800.0,PE,51.0,4200.0,4144.00,8125.49,0,contract_change,51.00,False
2025-09-29,10:19:50,2025-09-29,10:19:53,24800.0,CE,85.1,5200.0,5109.90,6004.58,0,contract_change,85.10,False
2025-09-29,10:20:00,2025-09-29,10:20:03,24800.0,CE,87.95,5200.0,5107.05,5806.77,0,contract_change,87.95,False
2025-09-29,10:20:10,2025-09-29,10:20:13,24800.0,CE,89.3,5200.0,5105.70,5717.47,0,contract_change,89.30,False
2025-09-29,10:20:17,2025-09-29,10:21:23,24800.0,CE,85.9,4200.0,4109.10,4783.59,1,contract_change,85.90,False
2025-09-29,10:21:28,2025-09-29,10:24:19,24800.0,PE,49.1,4170.0,4115.90,8382.69,2,contract_change,49.10,False
2025-09-29,10:24:21,2025-09-29,10:24:29,24800.0,CE,86.75,4170.0,4078.25,4701.15,0,contract_change,86.75,False
