entry_date,entry_time,exit_date,exit_time,strike,opt_type,entry_price,exit_price,pnl,pnl_pct,hold_duration_minutes,exit_reason,sq0_at_entry,sq0_peak
2025-11-19,12:38:57,2025-11-19,12:39:06,26000.0,CE,169.15,169.05,-0.10,-0.06,0,stop_loss,2250,33750
2025-11-19,12:39:15,2025-11-19,12:39:17,26000.0,CE,169.65,169.6,-0.05,-0.03,0,stop_loss,2250,3600
2025-11-19,12:40:03,2025-11-19,12:40:04,26000.0,CE,169.75,169.3,-0.45,-0.27,0,stop_loss,2400,26250
2025-11-19,12:45:35,2025-11-19,12:45:36,26000.0,CE,171.0,169.2,-1.80,-1.05,0,stop_loss,6900,37275
2025-11-19,12:54:15,2025-11-19,12:54:19,26000.0,CE,172.3,172.25,-0.05,-0.03,0,stop_loss,2625,6900
2025-11-19,12:59:17,2025-11-19,12:59:19,26000.0,CE,166.95,166.75,-0.20,-0.12,0,stop_loss,2700,7800
2025-11-19,13:00:05,2025-11-19,13:00:07,26000.0,CE,167.65,167.45,-0.20,-0.12,0,stop_loss,1650,3675
2025-11-19,13:01:34,2025-11-19,13:01:35,26000.0,CE,169.0,168.15,-0.85,-0.50,0,stop_loss,1950,3825
2025-11-19,13:02:10,2025-11-19,13:02:11,26000.0,CE,169.35,168.8,-0.55,-0.32,0,stop_loss,2775,6525
2025-11-19,13:02:35,2025-11-19,13:02:36,26000.0,CE,169.4,169.2,-0.20,-0.12,0,stop_loss,1875,2775
2025-11-19,13:07:51,2025-11-19,13:07:52,26050.0,CE,148.5,148.2,-0.30,-0.20,0,stop_loss,2550,12900
2025-11-19,13:12:42,2025-11-19,13:12:43,26000.0,CE,173.15,172.8,-0.35,-0.20,0,stop_loss,2025,3600
2025-11-19,13:14:44,2025-11-19,13:14:54,26050.0,CE,148.35,148.2,-0.15,-0.10,0,stop_loss,2250,19725
2025-11-19,13:17:27,2025-11-19,13:18:08,26000.0,CE,172.5,171.6,-0.90,-0.52,0,stop_loss,1800,2850
2025-11-19,13:19:16,2025-11-19,13:19:17,26000.0,CE,172.1,171.8,-0.30,-0.17,0,stop_loss,1650,3525
2025-11-19,13:19:19,2025-11-19,13:19:22,26000.0,CE,171.6,171.1,-0.50,-0.29,0,stop_loss,975,1650
2025-11-19,13:22:10,2025-11-19,13:22:11,26000.0,CE,172.6,171.9,-0.70,-0.41,0,stop_loss,2475,9225
2025-11-19,13:22:36,2025-11-19,13:22:39,26000.0,CE,170.65,170.15,-0.50,-0.29,0,stop_loss,1575,2475
2025-11-19,13:23:33,2025-11-19,13:23:36,26000.0,CE,172.55,172.5,-0.05,-0.03,0,stop_loss,1725,2925
2025-11-19,13:24:35,2025-11-19,13:24:36,26000.0,CE,172.8,172.65,-0.15,-0.09,0,stop_loss,5700,21600
2025-11-19,13:25:22,2025-11-19,13:25:26,26000.0,CE,172.0,171.95,-0.05,-0.03,0,stop_loss,2100,5700
2025-11-19,13:31:33,2025-11-19,13:31:34,26000.0,CE,164.55,164.2,-0.35,-0.21,0,stop_loss,1800,28575
2025-11-19,13:32:30,2025-11-19,13:33:59,26000.0,CE,163.6,163.25,-0.35,-0.21,1,stop_loss,2025,3225
2025-11-19,13:39:57,2025-11-19,13:39:58,26000.0,CE,159.6,159.3,-0.30,-0.19,0,stop_loss,2025,3750
2025-11-19,13:41:37,2025-11-19,13:41:41,26000.0,CE,157.55,157.05,-0.50,-0.32,0,stop_loss,1875,3825
2025-11-19,13:47:47,2025-11-19,13:47:48,26000.0,CE,163.0,162.9,-0.10,-0.06,0,stop_loss,2400,24300
