entry_date,entry_time,exit_date,exit_time,strike,opt_type,entry_price,exit_price,pnl,pnl_pct,hold_duration_minutes,exit_reason,ema5_at_entry,ema21_at_entry
2025-09-29,12:31:11,2025-09-29,12:31:12,24650.0,CE,95.75,94.95,-0.80,-0.84,0,trend_broken,95.52,95.40
2025-09-29,12:33:00,2025-09-29,12:33:02,24650.0,CE,95.2,94.15,-1.05,-1.10,0,trend_broken,95.38,94.26
2025-09-29,12:34:03,2025-09-29,12:34:05,24650.0,CE,88.35,87.35,-1.00,-1.13,0,trend_broken,88.06,87.48
2025-09-29,12:34:29,2025-09-29,12:37:25,24650.0,CE,91.35,89.0,-2.35,-2.57,2,trend_broken,91.58,89.05
2025-09-29,12:38:42,2025-09-29,12:38:43,24650.0,CE,84.35,83.5,-0.85,-1.01,0,trend_broken,84.27,84.20
2025-09-29,12:39:32,2025-09-29,12:43:04,24600.0,CE,104.75,99.3,-5.45,-5.20,3,trend_broken,105.19,101.22
2025-09-29,12:43:27,2025-09-29,12:43:45,24600.0,CE,103.2,102.3,-0.90,-0.87,0,trend_broken,103.06,102.41
2025-09-29,12:44:02,2025-09-29,12:44:13,24600.0,CE,104.35,103.75,-0.60,-0.57,0,trend_broken,104.33,103.75
2025-09-29,12:45:25,2025-09-29,12:45:27,24600.0,CE,101.4,101.05,-0.35,-0.35,0,trend_broken,101.19,101.05
2025-09-29,12:45:33,2025-09-29,12:45:36,24600.0,CE,101.85,101.3,-0.55,-0.54,0,trend_broken,101.76,101.37
2025-09-29,12:45:42,2025-09-29,12:45:43,24600.0,CE,102.45,101.35,-1.10,-1.07,0,trend_broken,102.69,101.97
2025-09-29,12:46:28,2025-09-29,12:51:29,24600.0,CE,100.65,105.85,5.20,5.17,5,time_stop,100.80,100.06
2025-09-29,12:52:21,2025-09-29,12:52:26,24600.0,CE,106.55,105.9,-0.65,-0.61,0,trend_broken,106.49,105.94
2025-09-29,12:55:25,2025-09-29,12:55:27,24650.0,CE,77.8,77.4,-0.40,-0.51,0,trend_broken,77.85,77.75
2025-09-29,12:55:50,2025-09-29,13:00:51,24650.0,CE,77.9,80.5,2.60,3.34,5,time_stop,78.09,77.95
2025-09-29,13:01:01,2025-09-29,13:06:02,24650.0,CE,80.0,95.05,15.05,18.81,5,time_stop,80.45,80.16
2025-09-29,13:06:29,2025-09-29,13:06:42,24650.0,CE,94.25,93.95,-0.30,-0.32,0,trend_broken,94.50,94.09
2025-09-29,13:07:41,2025-09-29,13:07:43,24650.0,CE,90.35,89.45,-0.90,-1.00,0,trend_broken,90.15,89.89
2025-09-29,13:08:22,2025-09-29,13:13:23,24650.0,CE,88.7,99.75,11.05,12.46,5,time_stop,88.19,87.39
2025-09-29,13:14:14,2025-09-29,13:15:34,24700.0,CE,73.9,73.55,-0.35,-0.47,1,trend_broken,74.08,73.61
2025-09-29,13:16:20,2025-09-29,13:21:21,24650.0,CE,103.45,107.2,3.75,3.62,5,time_stop,103.28,95.83
2025-09-29,13:22:23,2025-09-29,13:22:30,24700.0,CE,71.9,71.25,-0.65,-0.90,0,trend_broken,71.80,71.36
2025-09-29,13:22:53,2025-09-29,13:22:54,24700.0,CE,73.4,72.95,-0.45,-0.61,0,trend_broken,73.49,72.99
2025-09-29,13:22:58,2025-09-29,13:27:59,24700.0,CE,73.3,79.5,6.20,8.46,5,time_stop,73.17,73.04
2025-09-29,13:28:12,2025-09-29,13:28:23,24700.0,CE,80.4,79.75,-0.65,-0.81,0,trend_broken,80.54,80.00
2025-09-29,13:28:36,2025-09-29,13:28:42,24700.0,CE,81.2,80.9,-0.30,-0.37,0,trend_broken,81.50,80.91
2025-09-29,13:29:47,2025-09-29,13:34:48,24700.0,CE,80.2,87.05,6.85,8.54,5,time_stop,80.14,79.55
2025-09-29,13:35:06,2025-09-29,13:35:09,24700.0,CE,89.05,88.65,-0.40,-0.45,0,trend_broken,89.27,88.69
2025-09-29,13:35:24,2025-09-29,13:35:25,24700.0,CE,87.9,87.7,-0.20,-0.23,0,trend_broken,87.94,87.87
2025-09-29,13:35:38,2025-09-29,13:36:03,24700.0,CE,88.8,88.05,-0.75,-0.84,0,trend_broken,89.10,88.55
2025-09-29,13:36:56,2025-09-29,13:36:57,24700.0,CE,92.4,91.5,-0.90,-0.97,0,trend_broken,92.67,91.70
2025-09-29,13:39:10,2025-09-29,13:39:38,24700.0,CE,90.65,89.55,-1.10,-1.21,0,trend_broken,90.60,89.84
2025-09-29,13:40:04,2025-09-29,13:40:06,24700.0,CE,90.6,89.6,-1.00,-1.10,0,trend_broken,90.43,90.39
2025-09-29,13:40:45,2025-09-29,13:41:44,24700.0,CE,84.4,81.25,-3.15,-3.73,0,trend_broken,84.64,81.36
2025-09-29,13:43:19,2025-09-29,13:43:20,24700.0,CE,79.3,78.4,-0.90,-1.13,0,trend_broken,79.43,78.77
2025-09-29,13:45:31,2025-09-29,13:46:12,24700.0,CE,76.45,75.9,-0.55,-0.72,0,trend_broken,76.57,75.90
2025-09-29,13:46:39,2025-09-29,13:46:56,24700.0,CE,77.75,77.55,-0.20,-0.26,0,trend_broken,77.71,77.67
2025-09-29,13:48:30,2025-09-29,13:53:31,24700.0,CE,70.3,76.6,6.30,8.96,5,time_stop,70.52,69.86
2025-09-29,13:54:14,2025-09-29,13:54:16,24700.0,CE,79.15,78.05,-1.10,-1.39,0,trend_broken,79.22,78.10
2025-09-29,13:54:27,2025-09-29,13:54:28,24700.0,CE,78.5,77.2,-1.30,-1.66,0,trend_broken,78.43,78.37
