/Users/abhishek/workspace/NFOopsLab/NFOpsLab-gpt-optimized/backtests/run_all_strategies.py:74: PerformanceWarning: Resolving the schema of a LazyFrame is a potentially expensive operation. Use `LazyFrame.collect_schema()` to get the schema without this warning.
  schema = lf.schema
/Users/abhishek/workspace/NFOopsLab/NFOpsLab-gpt-optimized/backtests/run_all_strategies.py:90: PerformanceWarning: Resolving the schema of a LazyFrame is a potentially expensive operation. Use `LazyFrame.collect_schema()` to get the schema without this warning.
  schema = lf.schema
No trades.
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2019-11-14.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2019-12-19.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2020-02-06.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2020-03-19.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2020-04-30.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2020-06-11.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2020-07-23.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2020-09-03.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2020-10-15.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2020-11-26.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2021-01-07.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2021-02-25.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2021-04-15.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2021-06-03.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2021-07-01.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2021-08-12.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2021-09-30.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2021-11-11.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2021-12-23.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2022-02-03.parquet
