symbol,hint,rows,nonnull_ts,nonnull_ratio,tmin,tmax,reasons,file
BANKNIFTY,banknifty19jun,60423,60423,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun30700pe.parquet
BANKNIFTY,banknifty19jun,61219,61219,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun30800ce.parquet
BANKNIFTY,banknifty19jun,60286,60286,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun30800pe.parquet
BANKNIFTY,banknifty19jun,61096,61096,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun30900ce.parquet
BANKNIFTY,banknifty19jun,59087,59087,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun30900pe.parquet
BANKNIFTY,banknifty19jun,62455,62455,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun31000ce.parquet
BANKNIFTY,banknifty19jun,59526,59526,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:52.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun31000pe.parquet
BANKNIFTY,banknifty19jun,61649,61649,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun31100ce.parquet
BANKNIFTY,banknifty19jun,58293,58293,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun31100pe.parquet
BANKNIFTY,banknifty19jun,62285,62285,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun31200ce.parquet
BANKNIFTY,banknifty19jun,58582,58582,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun31200pe.parquet
BANKNIFTY,banknifty19jun,61809,61809,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun31300ce.parquet
BANKNIFTY,banknifty19jun,58621,58621,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun31300pe.parquet
BANKNIFTY,banknifty19jun,61471,61471,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun31400ce.parquet
BANKNIFTY,banknifty19jun,58814,58814,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun31400pe.parquet
BANKNIFTY,banknifty19jun,61518,61518,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun31500ce.parquet
BANKNIFTY,banknifty19jun,57416,57416,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun31500pe.parquet
BANKNIFTY,banknifty19jun,60614,60614,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:56.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun31600ce.parquet
BANKNIFTY,banknifty19jun,59202,59202,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun31600pe.parquet
