entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,total_premium_received,total_premium_paid,pnl,hold_duration_minutes,exit_reason
2025-08-28,13:00:00,2025-08-28,15:24:59,54100.0,54100.0,93.8,72.9,0.05,281.7,166.7,281.75,-115.05000000000001,144,time_limit
2025-08-29,13:00:00,2025-08-29,15:24:59,53900.0,53900.0,920.3,551.15,819.05,637.1,1471.4499999999998,1456.15,15.299999999999727,144,time_limit
2025-09-01,13:00:00,2025-09-01,15:24:59,53900.0,53900.0,887.2,516.55,951.05,473.1,1403.75,1424.15,-20.40000000000009,144,time_limit
2025-09-02,13:00:00,2025-09-02,15:24:59,54000.0,54000.0,889.1,479.15,688.55,656.7,1368.25,1345.25,23.0,144,time_limit
2025-09-03,13:00:00,2025-09-03,15:24:59,53700.0,53700.0,830.8,503.55,1054.0,376.15,1334.35,1430.15,-95.80000000000018,144,time_limit
2025-09-04,13:00:00,2025-09-04,15:24:59,54300.0,54300.0,717.4,536.2,630.3,602.0,1253.6,1232.3,21.299999999999955,144,time_limit
2025-09-05,13:00:00,2025-09-05,15:24:59,53800.0,53800.0,741.35,481.7,925.75,359.6,1223.05,1285.35,-62.299999999999955,144,time_limit
2025-09-08,13:00:00,2025-09-08,15:24:59,54300.0,54300.0,728.1,428.25,683.05,448.0,1156.35,1131.05,25.299999999999955,144,time_limit
2025-09-09,13:00:00,2025-09-09,15:24:59,54100.0,54100.0,738.05,432.95,756.1,395.2,1171.0,1151.3,19.700000000000045,144,time_limit
2025-09-10,13:00:00,2025-09-10,15:24:59,54600.0,54600.0,643.0,450.0,641.7,437.15,1093.0,1078.85,14.150000000000091,144,time_limit
2025-09-11,13:00:00,2025-09-11,15:24:58,54700.0,54700.0,629.0,428.2,596.0,428.9,1057.2,1024.9,32.299999999999955,144,time_limit
2025-09-12,13:00:00,2025-09-12,15:24:59,54800.0,54800.0,578.05,401.8,583.1,381.75,979.8499999999999,964.85,14.999999999999886,144,time_limit
